Title,description,authors,image,previewLink,infoLink,publisher,publishedDate,categories,ratingsCount
The Practical Letter (Book 1),A science fiction book by Alice Warren.,['Alice Warren'],,,,Vellum House,2002,['Science Fiction'],33
The Practical Empire (Book 2),A history book by Brian Cole.,['Brian Cole'],,,,Meridian,2008,['History'],385
The Hidden Horizon (Book 3),A history book by Clara Whitfield.,['Clara Whitfield'],,,,Meridian,1995,['History'],105
Last Broken Horizon (Book 4),A history book by Daniel Reyes.,['Daniel Reyes'],,,,Crown & Quill,2003,['History'],66
A Practical City (Book 5),A fiction book by Elena Marsh.,['Elena Marsh'],,,,Bluebird Books,2003,['Fiction'],27
Beyond the Silent Empire (Book 6),A science fiction book by Frank Delgado.,['Frank Delgado'],,,,Crown & Quill,1998,['Science Fiction'],36
Beyond the Infinite Letter (Book 7),A mystery & thriller book by Grace Holloway.,['Grace Holloway'],,,,Northlight Press,2009,['Mystery & Thriller'],33
Secrets of the Silent Letter (Book 8),A business & economics book by Henry Aldridge.,['Henry Aldridge'],,,,Meridian,2006,['Business & Economics'],164
The Silent Horizon (Book 9),A mystery & thriller book by Isabel Navarro.,['Isabel Navarro'],,,,Bluebird Books,1997,['Mystery & Thriller'],63
Secrets of the Golden Code (Book 10),A mystery & thriller book by Jonas Beck.,['Jonas Beck'],,,,Bluebird Books,2000,['Mystery & Thriller'],74
A Practical Letter (Book 11),A business & economics book by Katherine Pryce.,['Katherine Pryce'],,,,Northlight Press,2000,['Business & Economics'],39
A Hidden Code (Book 12),A history book by Liam Foster.,['Liam Foster'],,,,Crown & Quill,2003,['History'],537
Beyond the Digital Garden (Book 13),A science fiction book by Marina Vidal.,['Marina Vidal'],,,,Vellum House,1996,['Science Fiction'],139
Beyond the Silent Horizon (Book 14),A history book by Nathan Brooks.,['Nathan Brooks'],,,,Meridian,2005,['History'],34
Secrets of the Broken Code (Book 15),A science fiction book by Olivia Sterling.,['Olivia Sterling'],,,,Vellum House,2003,['Science Fiction'],36
Last Infinite Letter (Book 16),A mystery & thriller book by Peter Lang.,['Peter Lang'],,,,Meridian,2008,['Mystery & Thriller'],31
Beyond the Hidden Algorithm (Book 17),A history book by Quinn Harper.,['Quinn Harper'],,,,Meridian,2010,['History'],39
